بله	Yes
جستجوی سراسری و اعلان‌ها همیشه در نوار بالا در دسترس‌اند.	Global search and notifications are always available in the top bar.
جستجوی سراسری…	Global search…
جستجوی سریع	Quick search
جستجوی صفحه، ماژول یا عملیات…	Search pages, modules or actions…
جستجوی عنوان، مالک یا سازمان…	Search title, owner or organization…
جستجوی عنوان، مبدأ، مقصد، دستورالعمل یا گیرنده…	Search title, source, target, instruction or recipient…
جستجوی نام، ایمیل، سمت یا سازمان	Search name, email, title or organization
جستجوی نام، ایمیل، سمت یا سازمان…	Search name, email, title or organization…
جستجوی نام، صنعت یا کشور…	Search name, industry or country…
جستجوی هوشمند	Smart search
جستجو…	Search…
جلسات	Meetings
جلسات آیندهٔ برنامه‌ریزی‌شده اینجا ظاهر می‌شوند.	Planned upcoming meetings appear here.
جلسات اخیر	Recent meetings
جلسات اخیر با تامین کنندگان را فهرست کن	List recent meetings with suppliers
جلسات برنامه‌ریزی‌شده با ثبت دستور و خلاصه	Planned meetings with agenda and minutes
جلسات پیش رو	Upcoming meetings
جلسات پیشِ رو	Upcoming meetings
جلسات:	Meetings:
جلسات، تعاملات و اقدامات	Meetings, interactions & actions
جلسات، تعاملات و اقدامات مرتبط با این رابطه	Meetings, interactions and actions tied to this relationship
جلسات، تعاملات، فرصت‌ها و تعهدات	Meetings, interactions, opportunities & commitments
جلسه	Meeting
جلسه با حضور مدیرعامل برگزار شد. توافق شد قرارداد تا پایان ماه امضا شود. نیاز به پیگیری از تیم حقوقی داریم.	Meeting held with the CEO present. Agreed to sign the contract by month-end. We need follow-up from the legal team.
جلسه بعدی	Next meeting
جلسه:	Meeting:
جلسهٔ بعدی	Next meeting
جلسهٔ پیش رو	Upcoming meeting
جلسهٔ پیش روی برنامه‌ریزی‌شده ندارید	You have no scheduled upcoming meeting
جلسهٔ پیش روی ثبت نشده	No upcoming meeting recorded
جلسهٔ پیشِ رو	Upcoming meeting
جلسه‌ای ثبت نشده	No meeting recorded
جلسه‌ها، قول‌ها و پروژه‌ها	Meetings, promises and projects
جمع‌شده از ۸ سنجهٔ پویش	Aggregated from 8 scan metrics
جنس بازار	Market type
جنسیت بازار	Market type
جنسیت بازار *	Market type *
جنسیت بازار به‌روزرسانی شد.	Market type updated.
حاضر در گراف	Present in graph
حافظهٔ آفلاین	Offline cache
حافظهٔ آفلاین پاک شد — صفحات با بازدید بعدی دوباره ذخیره می‌شوند.	Offline cache cleared — pages will re-cache on your next visit.
حافظهٔ نهادی و انتقال دانش	Institutional memory & knowledge transfer
حالت ارائه: پخش روایت صحنه‌به‌صحنه برای جلسهٔ هیئت‌مدیره (کلیدهای جهت)	Presentation mode: scene-by-scene playback for the board meeting (arrow keys)
حالت ارائهٔ گراف	Graph presentation mode
حالت دمو · مالک	Demo mode · Owner
حالت مسیر	Path mode
حامی	Supporter
حاکمیت	Governance
