شناسهٔ پویش:	Scan ID:
قوی‌ترین مسیر چندپرشی تا سازمان هدف با امتیاز هر پرش (سلامت + تازگی + ریسک)؛ واسطه‌ها سقف و کانال خودشان را تعیین می‌کنند — «هیچ واسطه‌ای در معرض سی درخواست نیست».	Strongest multi-hop path to the target organization with per-hop scores (health + freshness + risk); intermediaries set their own caps and channels — "no intermediary gets bombarded with thirty requests".
قیف پیشنهادات	Suggestion funnel
قیف پیشنهادهای هوشمند	Smart suggestion funnel
لاگ تحویلی ثبت نشده است	No delivery log recorded
لغو رضایت	Revoke consent
لغو شده	Cancelled
لغو معرفی	Cancel referral
لغوشده	Cancelled
لغو‌شده	Cancelled
لینک جلسه	Meeting link
لینک جلسه (ویدئوکنفرانس)	Meeting link (video call)
لینکدین	LinkedIn
مؤلفه می‌شکند؛ ریسک تک‌نقطه دارد.	component breaks; single-point risk.
ما باید پیش‌فاکتور را تا جمعه ارسال کنیم. لطفاً گزارش مالی را آماده کنید و با تیم فروش هماهنگ شوید.	We must send the proforma invoice by Friday. Please prepare the financial report and coordinate with the sales team.
مادر	Parent
مالک	Owner
مالک (شخص مسئول)	Owner (responsible person)
مالک اقدام	Action owner
مالک تعیین شد.	Owner assigned.
مالک جایگزین	Replacement owner
مالک سامانه	Platform owner
مالک و زمینه	Owner & context
مالک:	Owner:
مالکیت و طرفین	Ownership & parties
مالکیت و پیوند	Ownership & tie
ماه بعد	Next month
ماه قبل	Previous month
ماه پیش	months ago
مبدأ	Source
مبدأ مسیر	Path origin
مبدأ مسیر:	Path origin:
مبدأ — مقدار	Source — value
مبنای قانونی	Legal basis
متاسفانه پروژه با تاخیر مواجه شده و تامین مواد دچار مشکل است. ریسک لغو سفارش توسط مشتری وجود دارد.	Unfortunately the project is delayed and material supply has issues. There is a risk the customer cancels the order.
متن	Text
متن را بنویسید؛ اقدام‌ها شناسایی می‌شوند…	Type text; actions will be detected…
متن را بنویسید؛ تعهدها شناسایی می‌شوند…	Type text; commitments will be detected…
متن را بنویسید؛ سیگنال‌های ریسک استخراج می‌شوند…	Type text; risk signals will be extracted…
متن را بنویسید؛ سیگنال‌های فرصت استخراج می‌شوند…	Type text; opportunity signals will be extracted…
متن نمونه	Sample text
متن پرس‌وجو	Query text
متن یادداشت‌های جلسه را اینجا قرار دهید…	Paste the meeting notes text here…
متناسب	Fit
متناسب با نما	Fit to view
متوسط	Medium
مثال: بررسی امکان همکاری فروش در ۳۰ روز؛ بدون مذاکرهٔ قرارداد	e.g. explore a sales partnership within 30 days; no contract negotiation
مثال: جلسهٔ آشنایی با مدیر خرید برگزار شد (۱۴۰۵/۰۶/۰۲)…	e.g. introductory meeting with the purchasing manager held (1405/06/02)…
مثال: جلسهٔ ارزیابی برگزار شد، تأمین‌کننده تأیید شد و قرارداد اولیه امضا شد…	e.g. evaluation meeting held, supplier approved and initial contract signed…
مثال: حداکثر ۲ جلسهٔ مقدماتی؛ مذاکره فقط با حضور مدیر حساب؛ نتیجه تا ۳۰ روز ثبت شود.	e.g. max 2 introductory meetings; negotiations only with the account manager present; outcome recorded within 30 days.
مثال: قرارداد اولیه امضا شد و وضعیت رابطه بهبود یافت…	e.g. initial contract signed and relationship status improved…
مثال: معرفی مدیر فروش به سازمان همکار	e.g. introduce the sales manager to the partner organization
مثبت	Positive
مثلاً بپرسید: «سلامت این حساب چقدر است؟» یا «مسیر معرفی از شرکت x به پارس انرژی چیست؟» یا «تعهدات معوق کدام‌اند؟»	Try asking: "How healthy is this account?" or "What's the introduction path from company x to Pars Energy?" or "Which commitments are overdue?"
مثلاً: 40	e.g. 40
مثلاً: 5000000000	e.g. 5000000000
مثلاً: ارسال پیش‌فاکتور	e.g. send proforma invoice
مثلاً: ایران	e.g. Iran
مثلاً: تأمین مالی دانش‌بنیان	e.g. knowledge-based financing
مثلاً: تحویل پیش‌فاکتور نهایی	e.g. deliver the final proforma invoice
مثلاً: توسعهٔ پلتفرم مشتریان	e.g. customer platform development
مثلاً: جلسات اخیر با تأمین‌کننده‌ها را نشان بده…	e.g. show recent meetings with suppliers…
مثلاً: جلسهٔ بازبینی با مدیر خرید	e.g. review meeting with the purchasing manager
مثلاً: جلسهٔ راهبردی فصل	e.g. quarterly strategy meeting
مثلاً: دفتر مرکزی — اتاق جلسات ۲	e.g. HQ — meeting room 2
مثلاً: دفتر مرکزی، خط مستقیم	e.g. HQ, direct line
مثلاً: سارا	e.g. Sara
مثلاً: شرکت فناوری آریا	e.g. Arya Technology Co.
مثلاً: شرکت فناوری نوآور	e.g. Innovative Technology Co.
مثلاً: فروش	e.g. Sales
مثلاً: فقط با هماهنگی دفتر مدیرعامل	e.g. only with coordination through the CEO's office
مثلاً: قرارداد تأمین سالانه	e.g. annual supply contract
مثلاً: قرارداد تمدید شده و ریسک زنجیرهٔ تأمین پایین آمده است.	e.g. contract renewed and supply-chain risk has decreased.
مثلاً: لپ‌تاپ کاری	e.g. work laptop
مثلاً: محمدی	e.g. Mohammadi
مثلاً: مدیر فروش	e.g. Sales Manager
مثلاً: مریم رضایی	e.g. Maryam Rezaei
مثلاً: نرم‌افزار، بانکداری، پتروشیمی	e.g. software, banking, petrochemicals
مثلاً: واحد فروش	e.g. Sales unit
مثلاً: پتروشیمی جنوب، بانکداری شرکتی، مجوز دولتی…	e.g. South Petrochemicals, corporate banking, government permit…
مثلاً: پتروشیمی، بانکداری…	e.g. petrochemicals, banking…
مثلاً: پیگیری امضای قرارداد همکار کلیدی	e.g. follow up on signing with the key partner
مجموع	Total
مجوز · محدودهٔ دسترسی · ممیزی · تأیید انسانی	Permission · access scope · audit · human confirmation
مجوز و محدوده در سرور اعمال می‌شوند.	Permission and scope are enforced on the server.
مجوز واردکردن داده فعال	Data import permission on
مجوز/تنظیم‌گری/اعتبار	Permits/regulation/credibility
مجوزها	Permissions
مجوزهای من	My permissions
مجوزی ثبت نشده است.	No permission recorded.
محاسبه:	Computed:
محاسبهٔ مسیر ناموفق بود	Path computation failed
محدود	Limited
محدوده	Scope
محدوده انتخاب‌شده	Selected scope
محدوده سازمانی	Organization scope
محدوده سازمانی — اعمال‌شده در سرور	Organization scope — enforced on the server
محدودهٔ دسترسی رعایت شد	Access scope respected
محدودهٔ سازمانی	Organizational scope
محرمانه	Confidential
محل برگزاری	Location
مخاطبین کلیدی	Key contacts
مخاطب‌ها	Contacts
مدرک یا توضیح (اختیاری — اطمینان امتیاز را بالا می‌برد)	Evidence or note (optional — raises score confidence)
مدیر ارشد شرکت	Subsidiary executive
مدیر ارشد هلدینگ	Holding executive
