نهاد/تنظیم‌گر	Institution/Regulator
همه محدوده مجاز (جلسات من)	All permitted scope (my meetings)
همهٔ انواع	All types
همهٔ اولویت‌ها	All priorities
همهٔ بازارها	All markets
همهٔ بخش‌ها	All sections
همهٔ روابط · نقشهٔ بازار	All relationships · market map
همهٔ روابط این سازمان با وضعیت + اعضای کلیدی	All this organization's relationships with status + key members
همهٔ روابط ←	All relationships →
همهٔ سازمان‌ها به‌صورت خوشه‌ای کامل	All organizations as complete clusters
همهٔ سازمان‌های محدوده	All organizations in scope
همهٔ سگمنت‌ها	All segments
همهٔ محدوده	Entire scope
همهٔ محدودهٔ مجاز	All permitted scope
همهٔ هشدارها	All alerts
همهٔ هشدارهای فعال سیستم در یک نگاه — فیلترپذیر بر اساس ماژول و شدت	All active system alerts at a glance — filterable by module and severity
همهٔ وضعیت‌ها	All statuses
همکار	Colleague
همین حالا	Just now
هم‌ارزی با سرویس تأیید دومرحله‌ای واقعی: دستگاه‌های تأییدشده، کدهای بازیابی یک‌بارمصرف.	Parity with a real 2FA service: verified devices, one-time recovery codes.
هم‌ارزی با سنجش تکراری‌ها: پیش از ثبت سازمان/شخص، کاندیداهای تکراری با شباهت لون‌اشتاین و قواعد دامنه/شناسه/تلفن/کشور سنجیده می‌شوند (حد آستانه ۰٫۴۰). نیازمند مجوز واردکردن داده.	Parity with duplicate detection: before saving an organization/person, duplicate candidates are scored with Levenshtein similarity and domain/ID/phone/country rules (threshold 0.40). Requires the data-import permission.
هم‌مسیر با /data-quality	Same page as /data-quality
هنوز ارتباطی برای این موجودیت ثبت نشده است.	No connection recorded for this entity yet.
هنوز ارزیابی معیارمحور انجام نشده	No criteria-based assessment yet
هنوز الگوی قابل‌توجهی از گراف بارگذاری‌شده استخراج نشده است.	No notable pattern extracted from the loaded graph yet.
هنوز جستجویی ذخیره نکرده‌اید	You haven't saved any searches yet
هنوز رابطه‌ای برای این سازمان ثبت نشده — از صفحهٔ «روابط» نخستین رابطه را ایجاد کنید.	No relationship recorded for this organization yet — create the first one from the Relationships page.
هنوز سگمنتی ثبت نشده	No segment recorded yet
هنوز فعالیتی ثبت نشده؛ فیلتر، مسیر یا تحلیلی را امتحان کنید.	No activity recorded yet; try a filter, path or analysis.
هنوز ممیزی اجرا نشده؛ با «بازاجرای ممیزی» اجرا کنید.	Audit not run yet; run it with "Re-run audit".
هنوز هیچ معیاری برای این رکورد ثبت نشده	No criteria recorded for this record yet
هنوز پاسخ داده نشده	Not answered yet
هنوز پیامی دریافت نشده — «شروع دریافت» را بزنید و با «ارسال آزمایشی» یا ثبت پیام در پورتال عمومی، چرخهٔ کامل را ببینید.	No message received yet — hit "Start receiving" and use "Test delivery" or submit a message on the public portal to see the full cycle.
هنوز پیشنهادی تعیین تکلیف نشده است.	No suggestion decided yet.
هنوز گره‌ای در دستهٔ	No node in category
هوش	Intelligence
هوش راهبردی	Strategic intelligence
هوش روابط راهبردی	Strategic Relationship Intelligence
هوش مصنوعی	Artificial intelligence
هوشمندی	Intelligence
هوشمندی و توصیه‌ها	Intelligence & recommendations
هیئت و مشاوران	Board & advisors
هیئت‌مدیره	Board
هیئت‌مدیره — پرتفوی روابط	Board — relationship portfolio
هیبرید	Hybrid
هیبریدی	Hybrid
هیچ رابطه‌ای با وضعیت	No relationship with status
هیچ عملکردی به آن وابسته نیست	No function depends on it
هیچ موردی برای یادآوری نیست — داده‌ها تازه‌اند.	Nothing to remind you about — data is fresh.
هیچ‌کدام اجباری نیست. آنچه نمی‌دانید خالی بگذارید — «خالی» با «صفر» فرق دارد و در امتیاز حساب نمی‌شود.	None of these are required. Leave blank what you don't know — "blank" is not "zero" and isn't counted in scores.
و	and
و موارد دیگر	and more
و نشان	and badge
وابسته به	depends on
وابستگی افزوده شد.	Dependency added.
وابستگی ثبت نشده — اقداماتِ لازم را از فهرست باز اضافه کنید.	No dependency recorded — add the required actions from the open list.
وابستگی حذف شد.	Dependency removed.
واحد جدید	New unit
واحد سازمانی	Organizational unit
واحد والد	Parent unit
واحد والد (اختیاری)	Parent unit (optional)
واحدها	Units
واحدی ثبت نشده است.	No unit recorded.
واسطه‌های پیشنهادی (اشخاص پرنفوذ در مسیر)	Suggested intermediaries (influential people on the path)
واژه‌نامه	Glossary
واژه‌نامه و راهنما	Glossary & guide
واژه‌نامه و راهنما — هر بخش یعنی چه؟	Glossary & guide — what does each section mean?
وبهوک	Webhook
وب‌سایت	Website
ورود امن	Secure sign-in
ورود ایمیل/تقویم	Email/calendar import
ورود به حساب	Sign in
ورود به حساب به کد اپلیکشن احراز هویت نیاز دارد؛ در صورت گم‌شدن دستگاه، از کدهای بازیابی استفاده کنید.	Sign-in requires an authenticator app code; if you lose the device, use the recovery codes.
ورود به حساب کاربری	Sign in to your account
ورود/خروج و تبادل داده بین سامانه‌ها	Sign-in/out and data exchange across systems
ورودها و رخدادهای امنیتی	Sign-ins & security events
ورودی بازار	Market entry
ورودی‌های بازاری	Market entries
ورودی‌های غیربازاری	Non-market entries
وضعیت	Status
وضعیت اجرای گردش‌های کاری	Workflow execution status
وضعیت اقدام	Action status
وضعیت اقدام برنامه به‌روزرسانی شد.	Action status updated.
وضعیت امنیتی حساب و سامانه	Account & platform security status
وضعیت به‌روزرسانی شد.	Status updated.
وضعیت حاکمیت	Governance status
وضعیت درخواست از معرف:	Introducer request status:
وضعیت درخواست به «	Request status changed to "
وضعیت رابطه	Relationship status
وضعیت رابطه (روی خط)	Relationship status (inline)
وضعیت رابطه (ضعیف‌ترین اول)	Relationship status (weakest first)
وضعیت رابطه با این سازمان	Relationship status with this organization
وضعیت رابطه با هر سازمان، ریسک، آخرین تعامل و اقدام بعدی — همه در یک نگاه. ساختار سلسله‌مراتبی و زمینهٔ ارتباطات در محدودهٔ دسترسی شما.	Status of each relationship, risk, last interaction and next action — all at a glance. Hierarchy and connection context within your access scope.
وضعیت زندهٔ ماژول‌های سرویس	Live status of service modules
وضعیت شبکه	Network status
وضعیت شبکهٔ شما نسبتاً سالم است؛ رابطهٔ پرریسکی بدون پوشش نیست.	Your network is fairly healthy; no high-risk relationship is uncovered.
وضعیت شروع	Start status
وضعیت همکاری با این شخص	Collaboration status with this person
وضعیت واقعی هر رابطه: سلامت، ریسک، آخرین تعامل و اقدام بعدی — حالا با تفکیک	True status of every relationship: health, risk, last interaction and next action — now split by
وضعیت پیوندها و شبکه	Status of ties & network
وضعیت:	Status:
وضعیتِ واقعی هر شخص — بر پایهٔ جلسات، اقدامات و امتیازها	Each person's true status — based on meetings, actions and scores
وفادار	Loyal
ویرایش	Edit
ویرایش جستجوی ذخیره‌شده	Edit saved search
ویرایش دستورالعمل	Edit instructions
ویرایش دستورالعمل معرفی	Edit referral instructions
٪	%
٪ احتمال	% probability
٪ اطلاعات	% complete
٪ اطلاعات · اطمینان	% complete · confidence
٪ تکمیل‌شده	% completed
٪)	%)
پ	d ago
پاسخ احراز هویت نامعتبر است.	Invalid authentication response.
پاسخ به این پرسش‌ها	Answering these questions
پاسخ به پرسش «امروز چه کاری مهم است» — بر اساس سررسیدها، ریسک‌ها و رویدادها	Answers "what matters today" — based on deadlines, risks and events
پالت فرمان	Command palette
پالس ثبت شد:	Pulse recorded:
پالس ۹۰ روزه	90-day pulse
پاک	Clean
پاک کردن	Clear
پاک‌سازی	Purge
پاک‌سازی حافظهٔ آفلاین	Clear offline cache
پاک‌شده	Purged
پاک‌کردن	Clearing
پاک‌کردن تمرکز	Clear focus
پاک‌کردن مسیر	Clear path
پایان	End
پایدار	Stable
پایش	Monitoring
پایش و سلامت	Monitoring & health
پایین	Low
پتانسیل	Potential
پتانسیل فرصت	Opportunity potential
پخش خودکار	Autoplay
پذیرش	Accept
پذیرش مسدود	Acceptance blocked
پذیرش مسدود است — موارد قرمز را رفع کنید	Acceptance is blocked — resolve the red items
پذیرش معرفی	Accept referral
پذیرش پیشنهادها	Accept suggestions
پذیرفته	Accepted
پذیرفته ·	Accepted ·
پذیرفته ← ایجاد اقدام	Accepted → create action
پذیرفته‌شده	Accepted
پرریسک ⚠	High-risk ⚠
پرریسک‌ترین روابط در گراف بارگذاری‌شده (طبقه‌بندی بر اساس امتیاز ریسک).	Highest-risk relationships in the loaded graph (ranked by risk score).
پرسش	Question
پرسش آزاد (زبان طبیعی)	Free-form question (natural language)
پرسش آزاد دستیار	Assistant free-form question
پرسش خود را به زبان طبیعی بنویسید…	Type your question in natural language…
پرسش پیشنهادی	Suggested question
پرسش‌های پرتکرار	Frequent questions
پرسش‌وپاسخ آزاد به زبان طبیعی روی گراف روابط + ۹ قابلیت آماده — موتور قطعی (قاعده‌بنیان) پاسخ می‌دهد؛ بدون مدل خارجی، با ارجاع به رکورد منبع و «نمی‌دانم» صادقانه برای خارج از دامنه.	Free-form natural-language Q&A on the relationship graph + 9 ready capabilities — answered by a deterministic (rule-based) engine; no external model, with source-record references and an honest "I don't know" outside its scope.
پرسش‌وپاسخ آزاد روی گراف	Free-form Q&A on the graph
پرس‌وجوهای اخیر	Recent queries
پرش	Hop
پرش · امتیاز	Hop · score
پرش · هزینه	Hop · cost
پرش به محتوای اصلی	Skip to main content
پرش یافت شد.	Hop found.
پروفایل	Profile
پروفایل من	My profile
پروفایل، عضویت‌های سازمانی و نقش‌ها، امنیت حساب (احراز دومرحله‌ای)، مجوزهای شما و ترجیحات رابط کاربری — دادهٔ پروفایل از سرور خوانده می‌شود.	Profile, organizational memberships and roles, account security (2FA), your permissions and interface preferences — profile data is read from the server.
پروفایل‌های ناقص	Incomplete profiles
پروندهٔ بازِ رابطه (قبل از جلسه بررسی شود):	Open relationship file (review before the meeting):
پروژه	Project
پروژه (پروژه→سازمان)	Project (project → organization)
پروژه/فرصت	Project/Opportunity
پروژه:	Project:
پروژه‌ها	Projects
پروژه‌های مشترک و مرحله‌های آن‌ها	Shared projects and their milestones
پرچم بحرانی	Critical flag
پرچم مهم	Important flag
پرچم‌ها	Flags
پرچم‌های ویژگی	Feature flags
پس از اولین ارسال اعلان، سوابق اینجا نمایش داده می‌شوند.	Delivery history appears here after the first notification is sent.
