حاکمیت داده	Data governance
داده‌های اصلی	Master data
داده‌های اصلی پروفایل	Core profile data
داده‌های فعلی	Current data
داده‌های مبنایی	Master data
داشبورد	Dashboard
داشبورد فرماندهی	Command dashboard
دامنهٔ وب یکسان	Duplicate web domain
دانش	Knowledge
دانشگاهی و پژوهشی	Academic & research
در انتظار	Pending
در انتظار این اقدام	Waiting on this action
در انتظار تحویل	Awaiting delivery
در بارگذاری این بخش خطایی رخ داد.	Something went wrong while loading this section.
در بازهٔ نگهداری	within retention
در جریان	In progress
در حال آماده‌سازی محیط… (کمتر از یک لحظه)	Preparing the environment… (a moment)
در حال اجرا	Running
در حال اجرا…	Running…
در حال احراز هویت…	Authenticating…
در حال ارسال…	Sending…
در حال افول	Declining
در حال انجام	In progress
در حال بارگذاری تنظیمات…	Loading settings…
در حال بارگذاری هویت و محدوده دسترسی…	Loading identity and access scope…
در حال بارگذاری پرسش‌ها…	Loading questions…
در حال بارگذاری…	Loading…
در حال بررسی نشست و محدودهٔ دسترسی…	Checking session and access scope…
در حال بررسی گراف…	Scanning graph…
در حال بررسی…	Checking…
در حال برقراری اتصال به سامانه… اگر بیش از چند ثانیه طول کشید، صفحه را یک‌بار به‌صورت عادی رفرش کنید.	Connecting to the platform… If it takes more than a few seconds, refresh the page once normally.
در حال تأیید…	Verifying…
در حال تحلیل	Analyzing
در حال توسعه	Developing
در حال تولید بریف…	Generating brief…
در حال ثبت‌نام…	Signing up…
در حال ثبت…	Saving…
در حال جست‌وجو…	Searching…
در حال حذف…	Deleting…
در حال دریافت…	Receiving…
در حال ذخیره…	Saving…
در حال راه‌اندازی	Starting up
در حال ساخت…	Building…
در حال سنجش…	Measuring…
در حال محاسبه	Computing
در حال محاسبهٔ گزارش هیئت‌مدیره…	Computing the board report…
در حال محاسبۀ امتیاز معیارها…	Computing criteria score…
در حال مذاکره	Negotiating
در حال پردازش	Processing
در حال پویش کیفیت داده…	Scanning data quality…
در حال پویش…	Scanning…
در حال پیشنهاد	Suggesting
در حال گسترش	Expanding
در حال…	Busy…
در خطر	At risk
در دمو، انتقال پیام با polling از صف سرور انجام می‌شود (همان ساختار اشتراک Web Push)؛ در استقرار واقعی با VAPID تحویل از سرویس اعلان انجام می‌شود — سرویس‌ورکر پوش و کلیک اعلان از همین حالا فعال است.	In the demo, message delivery uses polling from the server queue (same Web Push subscription structure); in a real deployment delivery goes through a notification service with VAPID — the push service worker and notification click handling are already active.
در ریسک	At risk
در زنجیرهٔ ارزش	In the value chain
در محدودهٔ فعلی	In current scope
در محدودهٔ مجاز	Within permitted scope
در معرض ریسک	At risk
در چارچوب SLA	Within SLA
در آهنگ ارتباط	On cadence
در گذار	In transition
در گراف	In graph
در گراف بارگذاری‌شده رابطه پرریسکی یافت نشد.	No high-risk relationship found in the loaded graph.
درآمد برنده	Won revenue
درآمد برنده‌شده ÷ (تعامل×۱ + جلسه×۲ + اقدام باز×۱) · روند ۹۰ روزه و سرمایهٔ سطح اول	Won revenue ÷ (interaction×1 + meeting×2 + open action×1) · 90-day trend and first-tier capital
درجه (پیوندها)	Degree (ties)
درخواست از معرف ارسال شد	Request sent to the introducer
درخواست بازیابی ثبت شد. لینک تأیید به ایمیل شما ارسال شده است.	Recovery request recorded. A confirmation link has been sent to your email.
درخواست ثبت شد	Request recorded
درخواست ثبت شد. در محیط توسعه توکن زیر به شما داده شده است — از آن برای تعیین رمز جدید استفاده کنید.	Request recorded. In the development environment the token below is shown to you — use it to set a new password.
درخواست رضایت اعلان	Request notification permission
درخواست مسیر سازمانی:	Organizational path request:
درخواست معرفی می‌پذیرد	Accepts introduction requests
درخواست نمی‌پذیرد	Does not accept requests
درخواست/ماه	requests/month
درخواست‌های در انتظار تأیید شما	Requests awaiting your approval
درون‌برنامه‌ای	In-app
درگیری	Engagement
درگیری و فعالیت	Engagement & activity
دریافت دوره‌ای دادهٔ عمومی از منابع رسمی، تطبیق با سازمان‌های ردیابی‌شده و پیشنهاد تکمیل پروفایل با «منبع + سطح اطمینان» — اعمال فقط با تأیید انسانی. پیشنهادها فقط دربارهٔ سازمان‌های شخص ثالث‌اند، هرگز پروفایل خودتان.	Periodic ingestion of public data from official sources, matching against tracked organizations, and profile-completion suggestions with "source + confidence" — applied only with human confirmation. Suggestions only ever concern third-party organizations, never your own profile.
دسترسی	Access
دسترسی سریع	Quick access
دسترسی سریع به جستجوهای پرتکرار	Quick access to frequent searches
دسترسی کامل (مالک)	Full access (owner)
دسترس‌پذیری	Accessibility
دسته	Category
دستهٔ عموم‌ها (رنگ گره)	Public category (node color)
دستهٔ عموم‌ها:	Public category:
دستور جلسه	Meeting agenda
دستور کار	Agenda
دستورالعمل دقیق تری برای معرفی‌شونده بنویسید؛ ممیزی پیش از پذیرش دوباره اجرا می‌شود و نتیجهٔ آن با ذخیره نمایش داده می‌شود.	Write more precise instructions for the introduced person; the pre-acceptance audit re-runs and its result is shown on save.
دستورالعمل معرفی‌شونده	Instructions for the introduced person
دستورالعمل و ممیزی معرفی به‌روزرسانی شد؛ ممیزی پیش دوباره اجرا شده است.	Referral instructions and audit updated; the pre-audit has been re-run.
دستورالعمل — این همان چیزی است که به معرفی‌شونده می‌دهید	Instructions — this is exactly what you hand to the introduced person
دستگاه جدید ثبت می‌شود و پس از تأیید با یک کد ۶ رقمی، کدهای بازیابی یک‌بارمصرف صادر می‌گردد.	A new device is registered and, after verifying with a 6-digit code, one-time recovery codes are issued.
دستی	Manual
دستی =	Manual =
دستیار هوش مصنوعی	AI assistant
دستیار هوشمند	Smart assistant
دستیار هوشمند روابط	Smart relationship assistant
دستیار، بریف و تحلیل‌ها	Assistant, briefs & analytics
دقیقه	minute
دقیقه پیش	minutes ago
دلایل استخراج‌شده از امتیازها و سیگنال‌های واقعی رابطه	Reasons derived from the relationship's real scores and signals
دلایل:	Reasons:
دلیل (برای ممیزی):	Reason (for audit):
دلیل تنظیم دستی الزامی است.	A reason for the manual override is required.
دو انگشت	Two fingers
دو سازمان و نوع رابطه را مشخص کنید — جنسیت بازار و نقطهٔ ورود را هم در همین گام تعیین کنید.	Specify the two organizations and the relationship type — set market type and entry point in this same step.
دو نقش همزمان	Dual role
دولت	Government
دولتی	Governmental
دوگانه	Hybrid
دوگانه (هیبرید) — هم مبادله، هم نهاد	Hybrid — both exchange and institution
دپارتمان	Department
دیدن در شبکه ←	See in network →
دیده‌شده	Seen
دیده‌شده ← پذیرفته‌شده	Seen → Accepted
دیروز	Yesterday
ذخیره	Save
ذخیره ترجیحات	Save preferences
ذخیره تغییرات	Save changes
ذخیرهٔ ارزیابی	Save assessment
ذخیرهٔ ترجیحات	Save preferences
ذخیرهٔ جستجو	Save search
ذکر رسانه‌ای	Media mention
ذکر رسانه‌ای در این فصل شناسایی نشد (رصد محدود به منابع منتخب).	No media mention detected this quarter (monitoring limited to selected sources).
ذکرهای رسانه‌ای	Media mentions
را وقتی بزنید که پول/کالا/خدمت مستقیم ردوبدل می‌شود.	mark it when money/goods/services are directly exchanged.
رابطه	Relationship
رابطه (مبدأ ↔ مقصد) · سگمنت بازار	Relationship (source ↔ target) · market segment
رابطه بازیابی شد.	Relationship restored.
رابطه بایگانی شد.	Relationship archived.
رابطه راهبردی (امتیاز راهبردی ≥ ۶۰) فرصت بالقوه در نظر گرفته می‌شود.	A strategic relationship (strategic score ≥ 60) is considered a potential opportunity.
رابطه راهبردی برتر	Top strategic relationship
رابطه سازمانی	Organizational relationship
رابطه شخص	Person's relationship
رابطه پرریسک (ریسک ≥	High-risk relationship (risk ≥
رابطه:	Relationship:
رابطه، سازمان یا وضعیت را بنویسید…	Type a relationship, organization or status…
رابطهٔ بازاری در معرض ریسک — آهنگ ارتباط یا سلامت نیازمند اقدام فوری است.	At-risk market relationship — cadence or health needs immediate action.
رابطهٔ سازمانی	Organizational relationship
رابطهٔ شخصی	Personal relationship
رابطهٔ مرتبط	Related relationship
رابطهٔ موجود	Existing relationship
رابطهٔ پرریسک:	High-risk relationship:
رابطهٔ پرریسکی یافت نشد.	No high-risk relationship found.
رابطهٔ پیوند (برای ممیزی)	Tie relationship (for audit)
رابطهٔ پیوند: امتیاز معیارها	Tie relationship: criteria score
رابطه‌ای در محدودهٔ فعلی ثبت نشده است.	No relationship recorded in the current scope.
رابطه‌محور · شبکه‌محور · هوشمحور	Relationship-centric · network-centric · intelligence-centric
راهبردی	Strategic
راهنما	Guide
راهنما:	Guide:
راهنمای سریع	Quick guide
راهنمای کامل ←	Full guide →
راهکار	Solution
رد	Reject
رد شد	Rejected
رد شدن	Rejection
رد شده	Rejected
