رد معرفی	Reject referral
زمان تکمیل	Completed at
زمان شروع	Starts at
زمان وقوع	Occurred at
زمان پایان	Ends at
زمان‌بندی	Scheduling
زمینه (رابطه)	Context (relationship)
زمینه و زمان‌بندی	Context & timing
زنجیره‌های خودکار تصمیم، اجرا و تأییدها	Automated decision, execution and approval chains
زیاد	High
زیرمجموعه	Subsidiary
زیرمجموعه‌ها	Subsidiaries
ساخت حساب جدید	Create a new account
ساخت دستگاه	Register device
ساختار شرکت‌های در محدودهٔ دسترسی	Structure of organizations within your scope
ساختار شرکت‌های هلدینگ پس از ثبت نخستین رابطهٔ مالکیت نمایش داده می‌شود.	The holding structure appears after your first ownership relationship is recorded.
سازمان	Organization
سازمان / سمت	Organization / title
سازمان «	Organization "
سازمان ·	Organization ·
سازمان · پروفایل	Organization · Profile
سازمان آزاد	Independent organization
سازمان جدید	New organization
سازمان در محدوده	Organization in scope
سازمان در محدودهٔ دسترسی شما ایجاد می‌شود و بلافاصله در فهرست با وضعیت «بدون رابطه» ظاهر می‌شود.	The organization is created within your access scope and immediately appears in the list with status "no relationship".
سازمان شما	Your organization
سازمان طرف	Counterpart organization
سازمان فرصت	Opportunity organization
سازمان مادر	Parent organization
سازمان مادر (اختیاری)	Parent organization (optional)
سازمان مبدأ	Source organization
سازمان مبدأ و مقصد نمی‌توانند یکسان باشند.	Source and target organizations cannot be the same.
سازمان مبدأِ این شخص؛ بعداً می‌توانید نقش‌های سازمانی دیگری نیز برایش ثبت کنید.	This person's primary organization; you can add more organizational roles later.
سازمان مرتبط	Related organization
سازمان مردم‌نهاد	NGO
سازمان مقصد	Target organization
سازمان هدف	Target organization
سازمان و سمت	Organization & title
سازمان پروژه	Project organization
سازمان پل می‌زند؛ همکاری او را پایش کنید.	is a bridge organization; watch their collaboration.
سازمان یکسان	Duplicate organization
سازمان/شخص بدون مخاطبِ مرتبط	Organization/person without a linked contact
سازمان:	Organization:
سازمانی ثبت نشده است	No organization recorded
سازمان‌ها	Organizations
سازمان‌ها را ثبت کنید	Record organizations
سازمان‌ها و اشخاص	Organizations & people
سازمان‌ها و افراد کلیدی	Organizations & key people
سازمان‌ها و نقش‌ها	Organizations & roles
سازمان‌های بانکی	Banking organizations
سازمان‌های تکراری	Duplicate organizations
سازمان‌های دارای مشکل	Organizations with issues
سازمان‌های در ارتباط + همکاران — با وضعیت رابطه	Connected organizations + colleagues — with relationship status
سازمان‌های طرفین	Counterpart organizations
سازمان‌های غنی‌شده	Enriched organizations
سازمان‌های ناموجود	Missing organizations
سازمان‌های نوع بانک را فهرست کن	List bank-type organizations
سازمان‌هایی که مالک (مسئول رابطه) ندارند	Organizations without an owner (relationship owner)
ساعت	hour
ساعت پیش	hours ago
سال بعد	Next year
سال قبل	Previous year
سال پیش	years ago
سالم	Healthy
سامانه در حال آماده‌سازی اتصال است؛ چند لحظه صبر کنید.	The platform is preparing the connection; please wait a moment.
سایر	Other
سایر سازمان‌ها	Other organizations
ستون	Column
ستون خالی	Empty column
ستون هر پیوند روی گراف از نوع سازمان مبدأ/مقصد تعیین می‌شود — برای پیمایش مسیر «داخل تیم ← مشتری ← هیئت» و حاکمیت معرف.	Each graph edge is colored by its source/target organization type — for tracing "internal team → customer → board" paths and introducer governance.
ستون‌های شبکه	Network columns
سرد (بدون معرفی)	Cold (no introduction)
سررسید	Due
سررسید تا ۳ روز	Due within 3 days
سررسید فوری‌ای ندارید	You have no urgent deadlines
سررسید پیشنهادی	Suggested deadline
سرمایه	Capital
سرمایه · روند	Capital · trend
سرمایهٔ رابطه	Relationship capital
سرمایهٔ رابطه و روند ۹۰ روزه	Relationship capital and 90-day trend
سرمایهٔ رابطه، بازده سرمایه، سلامت پرتفوی و ریسک تک‌نقطه — محاسبهٔ قطعی از دادهٔ همین محدودهٔ دسترسی	Relationship capital, return on capital, portfolio health and single-point risk — deterministic math on this scope's own data
سرمایهٔ رابطهٔ پرتفوی	Portfolio relationship capital
سرمایهٔ شبکه	Network capital
سرمایهٔ شبکه · اجزا	Network capital · components
سرمایه‌گذار	Investor
سرمایه‌گذاری	Investment
سرور MCP	MCP server
سرویس در حال راه‌اندازی است؛ یک لحظه صبر کنید و دوباره تلاش کنید.	The service is starting; wait a moment and try again.
سرویس‌دهنده فعال	Active provider
سرویس‌ورکر در این نشست فعال نیست	Service worker is not active in this session
سرویس‌ورکر صفحات بازدیدشده را ذخیره می‌کند تا بدون اینترنت در دسترس باشند؛ دادهٔ API دمو نیز به‌طور کامل داخل سرویس‌ورکر اجرا می‌شود.	The service worker caches visited pages for offline access; the demo API also runs entirely inside the service worker.
سرویس‌ورکر فعال	Service worker active
سرویس‌ورکر نامشخص	Service worker unknown
سقف درخواست در ماه	Max requests per month
سقف:	Cap:
سلام	Hello
سلام،	Hi,
سلامت	Health
سلامت رابطه	Relationship health
سلامت زمان اجرا	Runtime health
سلامت زیر ۵۵ یا بحرانی	Health below 55 or critical
سلامت شبکه	Network health
سلامت پرتفوی	Portfolio health
سلامت پلتفرم	Platform health
سلامت گراف	Graph health
سلامت، ریسک، راهبردی و گام بعدی — محاسبهٔ زنده از امتیازها و رویدادها	Health, risk, strategic and next step — computed live from scores and events
سمت	Title
سنجه.	metric.
سنجه‌ها	Metrics
سند	Document
سند:	Document:
سهم رفتار واقعی در برابر ارزیابی انسانی	Share of real behavior vs human assessment
سوابق تحویل اعلان در کانال‌ها	Notification delivery history across channels
سگمنت / بازار هدف	Segment / target market
سگمنت بازار	Market segment
سگمنت به‌روزرسانی شد.	Segment updated.
سگمنت ثبت نشده	No segment recorded
سگمنت:	Segment:
سگمنت‌های پوشش‌داده‌شده	Covered segments
سیستم	System
سیستم عامل هوشمند	Smart operating system
سیستمی	System
سیگنال ریسک مشخصی در متن پیدا نشد.	No clear risk signal found in the text.
سیگنال فرصت مشخصی در متن پیدا نشد.	No clear opportunity signal found in the text.
سیگنال‌های ریسک، فرصت‌های در جریان و پیشنهاد رشد	Risk signals, in-flight opportunities and growth suggestions
شاخص رابطهٔ راهبردی	Strategic relationship index
شاخص عملیاتی (سلامت) — مکمل امتیاز معیارها	Operational indicator (health) — complements the criteria score
شاخص‌های اشخاص	People indicators
شاخص‌های راهبردی	Strategic indicators
شاخص‌های روابط	Relationship indicators
شاخص‌های زنده از سرمایهٔ شبکه تا هوش روابط راهبردی.	Live indicators from network capital to strategic relationship intelligence.
شاخص‌های سنجش	Measurement indicators
شاخص‌های کلیدی شبکه	Key network indicators
شاهد بررسی ثبت شد و ممیزی پس از معرفی به‌روزرسانی شد.	Review evidence recorded and the post-introduction audit updated.
شاهد محدود	Limited evidence
شباهت نام	Name similarity
شبکه	Network
شبکه اطلاعاتی SRIP	SRIP information network
شبکه را به	Set the network to
شبکهٔ خوشه‌ای ارتباطات	Connection cluster network
شبکهٔ روابط	Relationship network
شبکهٔ چهارستونی	Four-column network
شبکهٔ کامل ←	Full network →
شخص	Person
شخص «	Person "
شخص ·	Person ·
شخص در محدودهٔ سازمانی شما ثبت می‌شود و بلافاصله در فهرست ظاهر می‌شود.	The person is recorded within your organizational scope and immediately appears in the list.
شخص طرف	Counterpart person
شخص:	Person:
شخصی در محدودهٔ فعلی ثبت نشده است.	No person recorded in the current scope.
شدت	Severity
شرح	Description
شرح تعهد	Commitment description
شرحی کوتاه از اقدام…	A short description of the action…
شروع	Start
شروع ثبت دستگاه	Start device registration
شروع دریافت (polling)	Start receiving (polling)
شروع سرد — فقط ارزیابی انسانی	Cold start — human assessment only
شروع سریع	Quick start
شروع کار	Getting started
شرکا	Partners
شرکت‌ها	Companies
شرکت‌ها/سازمان‌های عضو شبکه و اطلاعات هرکدام	Member companies/organizations and their details
شرکت‌کنندگان	Participants
شریک	Partner
شماره، نشانی یا نشانی وب	Phone, address or web
شمارهٔ	Number
شمارهٔ تماس	Phone number
شمارهٔ تماس یکسان	Duplicate phone number
شناخت متقابل ثبت‌نشده‌ای نیست؛ برای معرفی، از پیشنهاد پیوند شبکه استفاده کنید.	No recorded mutual acquaintance; for introductions, use the network's tie suggestion.
شناسایی سیگنال‌های ریسک در متن: تاخیر، انسداد، نگرانی	Detects risk signals in text: delays, blockers, concerns
شناسایی سیگنال‌های فرصت: توسعه، همکاری، تمدید	Detects opportunity signals: expansion, collaboration, renewal
شناسایی‌شده	Identified
شناسه	ID
شناسه جلسه	Meeting ID
شناسه رابطه	Relationship ID
شناسه سازمان	Organization ID
شناسه سازمان مبدأ	Source organization ID
شناسه سازمان مقصد	Target organization ID
شناسه شخص	Person ID
شناسه مالک	Owner ID
شناسه مسئول	Assignee ID
شناسه و وضعیت حساب بر پایهٔ سرور.	Account identity and status per the server.
شناسه پروژه	Project ID
شناسه کار	Task ID
شناسه:	ID:
شناسهٔ	ID
شناسهٔ ثبت	Registration ID
شناسهٔ ثبت یکسان	Duplicate registration ID
شناسهٔ دستگاه	Device ID
شناسهٔ مالیاتی	Tax ID
