اقدام حذف شد.	Action deleted.
این رابطه مستقیماً در زنجیرهٔ ارزش/مبادله عمل می‌کند.	This relationship operates directly in the value/exchange chain.
این رابطه هیبرید است — هم مبادله، هم نقش نهادی.	This relationship is hybrid — both exchange and institutional role.
این مرورگر از Notification پشتیبانی نمی‌کند.	This browser does not support Notifications.
این مورد حذف شود؟	Delete this item?
این پیام از مسیر Web Push (نقل‌ونقل polling در دمو) رسید.	This message arrived via Web Push (polling transport in the demo).
این یک محیط دمو با دادهٔ نمایشی است	This is a demo environment with sample data
با	with
با Ctrl چند نفر را انتخاب کنید	Hold Ctrl to select multiple people
با «شروع دریافت»، هر ۸ ثانیه صف بررسی می‌شود؛ پیام تازه با اعلان سیستم (در صورت پشتیبانی) و این فهرست نمایش داده می‌شود. هر پیام پوش هم‌زمان به‌عنوان اعلان درون‌برنامه‌ای سازمان‌محور در صفحهٔ «اعلان‌ها» هم ظاهر می‌شود.	With "Start receiving", the queue is polled every 8 seconds; new messages show as a system notification (if supported) and in this list. Every push message also appears as an org-scoped in-app notification on the Notifications page.
با «معرفی جدید» نخستین مسیر معرفی را ثبت کنید.	Use "New introduction" to record your first referral path.
با اجرای نخستین گردش کار، وضعیت اینجا نمایش داده می‌شود.	After your first workflow run, its status appears here.
با انتخاب رابطه، سازمان جلسه خودکار ثبت می‌شود	Selecting a relationship auto-fills the meeting's organization
با انقضا، امتیاز خودکار به مدل برمی‌گردد.	When it expires, the score automatically reverts to the model.
با درجه	with degree
با دو انگشت زوم کنید؛ دوباره‌لمس روی زمینه = بزرگ‌نمایی	Pinch to zoom; double-tap on background = zoom in
با شفافیت منبع در هر فیلد	with source transparency on every field
با موفقیت ایجاد شد.	Created successfully.
با هشدار	With warning
بارگذاری اتصال‌دهنده‌ها ناموفق بود	Failed to load connectors
بارگذاری بیشتر	Load more
بارگذاری تحلیل ناموفق بود	Failed to load analysis
بارگذاری شبکه ناموفق بود	Failed to load network
بارگذاری صفحه بعدی گراف	Load next graph page
باز	Open
باز کردن	Open
باز کردن فرم معرفی با دادهٔ این شکاف	Open the referral form with this gap's data
باز کردن فرم معرفی برای شکاف «	Open referral form for gap "
باز کردن منو	Open menu
بازاجرای ممیزی	Re-run audit
بازاری	Market
بازاری / غیربازاری	Market / non-market
بازاری — در زنجیرهٔ ارزش/مبادله (مشتری/تأمین‌کننده/شریک/بانک)	Market — in the value/exchange chain (customer/supplier/partner/bank)
بازبینی	Review
بازبینی رابطه، زمان جلسه یا موعد اقدام نامشخص	Relationship review, meeting time or action due date unclear
بازبینی محدوده به «	Scope review to "
بازبینی معیارها	Criteria review
بازبینی کیفیت با موفقیت انجام شد —	Quality review completed —
بازخوانی	Reload
بازده سرمایه	Return on capital
بازده سرمایه و سلامت هر رابطه	Return on capital and health of each relationship
بازده سرمایهٔ رابطه	Relationship return on capital
بازنشانی	Reset
بازنشانی صفحه	Reset view
بازگشت	Back
بازگشت به داشبورد	Back to dashboard
بازگشت به نمای کلی	Back to overview
بازگشت به ورود	Back to sign-in
بازیابی رمز عبور	Recover password
بازیگر کلیدی	Key player
بالا	High
بانک	Bank
بانکی	Banking
بایگانی	Archive
بایگانی‌شده	Archived
بحرانی	Critical
بحرانی‌ترین اول	Most critical first
بخش	Section
بخش مدیریتی — فقط مدیران	Management section — admins only
بخش:	Section:
بخش‌های این مرکز	Sections of this hub
بخش‌های صفحهٔ شبکه روابط	Sections of the network page
بدون ارزیابی	No assessment
بدون اعلان	No notifications
بدون اقدام اصلاحی باز	No open corrective action
بدون امتیاز معیارها	No criteria score
بدون تعامل اخیر یا بازبینیِ عقب‌افتاده	No recent interaction or overdue review
بدون تغییر	Unchanged
بدون تمرکز	No focus
بدون توضیح	No description
بدون داده	No data
بدون درگیری	Unengaged
بدون دستهٔ عموم	No public category
بدون رابطه	No relationship
بدون رابطهٔ مشخص	No specific relationship
بدون سازمان مادر	No parent organization
بدون سقف تعیین‌شده	No cap set
بدون سمت	No title
بدون سگمنت	No segment
بدون مالک	No owner
بدون مجوز واردکردن داده	No data-import permission
بدون مخاطب	No contact
بدون مدل خارجی	No external model
بدون معوق	None overdue
بدون موعد	No due date
بدون نقش	No role
بدون هدف ثبت‌شده	No recorded objective
بدون واحد والد	No parent unit
بدون پاسخ	No response
بدون پاسخ از معرف	No response from the introducer
بدون پیام	No message
بدون کانون	No focal node
بر اساس ارتباطات مشترک، تعاملات اخیر و نتایج جلسات — موتور قطعی داخلی	Based on shared connections, recent interactions and meeting outcomes — deterministic in-house engine
بر اساس ارتباطات مشترک، تعاملات اخیر و هم‌صنف‌بودن — محاسبهٔ قطعی موتور، بدون سرویس خارجی.	Based on shared connections, recent interactions and peer similarity — deterministic engine math, no external service.
بر پایهٔ امتیازهای شخص، جلسات آینده و اقدامات در انتظار او — محاسبهٔ زنده از داده‌های واقعی	Based on the person's scores, upcoming meetings and open actions — computed live from real data
بر پایهٔ تحلیل	Based on analysis
برآورده‌شده	Fulfilled
برای «	for "
برای این‌ها عددی گذاشته نشده تا امتیاز مصنوعی به‌نظر نرسد. نزدیک‌ترین‌ها به تأثیر:	These are left unscored so the numbers don't look artificial. Closest to impact:
برای تشخیص تکراری، سازمان مقصد را انتخاب کنید.	Select the target organization to detect duplicates.
برای جزئیات هر گره روی آن کلیک کنید — بستن با دکمهٔ بالا یا کلید Esc.	Click any node for its details — close via the button above or Esc.
برای جلسه آتی درباره همکاری راهبردی بریف آمادگی تهیه کن	Prepare a readiness brief for the upcoming strategic partnership meeting
برای دیدن تفکیک خانواده‌ها و تک‌تک معیارها، هر ردیف را باز کنید.	Expand each row to see family breakdowns and individual criteria.
برای ذخیره، نام و عبارت جستجو (حداقل ۲ نویسه) لازم است.	A name and a search term (at least 2 characters) are required to save.
برای ساخت سلسله‌مراتب هلدینگ	to build the holding hierarchy
برای ساخت سلسله‌مراتب هلدینگ، سازمان مادر را انتخاب کنید؛ این سازمان به‌صورت «زیرمجموعه» در نمای گروه نمایش داده می‌شود.	To build the holding hierarchy, pick a parent organization; this one will appear as a "subsidiary" in the group view.
برای مشاهدهٔ بریف فصلی مجوز «تحلیل‌ها» لازم است.	The "Analytics" permission is required to view the quarterly brief.
برای نمایش تحلیل کامل، یکی از دکمه‌های بالا را اجرا کنید.	Run one of the buttons above to see the full analysis.
برای هر سنجه، شناسهٔ رکوردهای مشکل‌دار از همان پویش می‌آید؛ کلیک روی هر شناسه، صفحهٔ همان موجودیت را باز می‌کند.	For every metric, problem record IDs come from that same scan; clicking an ID opens that entity's page.
برای پاسخ جدید تا موعد بعدی صبر کنید (حلقهٔ بسته: یک پاسخ در هر ۹۰ روز).	Wait for the next window for a new response (closed loop: one response per 90 days).
برای پیگیری فرصت‌های باز چه اقدام‌هایی پیشنهاد می‌کنی؟	What actions do you suggest for following up on open opportunities?
برای گزارش «کجا ورود ما به بازار است» — سگمنت را دقیق بنویسید.	For the "where is our market entry" report — write the segment precisely.
برخط	Online
بررسی تکراری	Duplicate check
بررسی رابطه	Relationship review
بررسی نشست بیش از حد طول کشید	Session check timed out
بررسی وضعیت MFA…	Checking MFA status…
بررسی‌های مقدماتی حاکمیتی	Governance pre-checks
برقراری ارتباط میان «	Connect "
برقراری ارتباط و بررسی فرصت همکاری میان «	Connect and explore a collaboration opportunity between "
برلین (Europe/Berlin)	Berlin (Europe/Berlin)
برنامهٔ ۹۰ روزه	90-day plan
برنامهٔ ۹۰ روزه برای این رابطه ثبت نشده — از فهرست روابط یا صفحهٔ تحلیل، برنامه بسازید.	No 90-day plan recorded for this relationship — create one from the relationship list or the analysis page.
برنامه‌ریزی‌شده	Planned
برنده	Won
برچسب	Tag
برچسب‌ها	Tags
بریف این هفته	This week's brief
بریف جانشین	Successor brief
بریف جلسه	Meeting brief
بریف جلسه با بانک	Brief for the bank meeting
بریف جلسه با نمایندگان بانک را آماده کن	Prepare a brief for the meeting with the bank's representatives
بریف راهبردی	Strategic brief
بریف فصلی (QBR)	Quarterly brief (QBR)
بریف فصلی خودکار (QBR)	Automatic quarterly brief (QBR)
بزرگ‌نمایی	Zoom in
بستن	Close
بستن (Esc)	Close (Esc)
بستن ارائه	Close presentation
بستن جزئیات موتور	Close engine details
بستن نمای تمام‌صفحه	Close fullscreen view
بستن نوار هشدار (تا پایان نشست دوباره نشان داده نمی‌شود)	Close the alert bar (won't show again this session)
بسته	Closed
بعدی	Next
